,code,expression,relation
138,L99,CID-10 M678,ciap_to_other_cids
139,L99,CID-10 M67.9,ciap_to_other_cids
140,L99,CID-10 M679,ciap_to_other_cids
141,L99,CID-10 M68,ciap_to_other_cids
143,L99,CID-10 M72,ciap_to_other_cids
145,L99,CID-10 M73,ciap_to_other_cids
147,L99,CID-10 M79.4,ciap_to_other_cids
148,L99,CID-10 M794,ciap_to_other_cids
149,L99,CID-10 M79.8,ciap_to_other_cids
150,L99,CID-10 M798,ciap_to_other_cids
151,L99,CID-10 M84,ciap_to_other_cids
153,L99,CID-10 M85,ciap_to_other_cids
155,L99,CID-10 M87,ciap_to_other_cids
157,L99,CID-10 M88,ciap_to_other_cids
159,L99,CID-10 M89,ciap_to_other_cids
161,L99,CID-10 M90,ciap_to_other_cids
163,L99,CID-10 M94,ciap_to_other_cids
165,L99,CID-10 M95,ciap_to_other_cids
167,L99,CID-10 M99,ciap_to_other_cids
169,L99,CID-10 T79.6,ciap_to_other_cids
170,L99,CID-10 T796,ciap_to_other_cids
171,L99,CID-10 Z89,ciap_to_other_cids
173,L99,CID-10 Z94.6,ciap_to_other_cids
174,L99,CID-10 Z946,ciap_to_other_cids
175,L99,CID-10 Z98.1,ciap_to_other_cids
176,L99,CID-10 Z981,ciap_to_other_cids
177,S73,afecção parasitária da pele,ciap_to_text
178,S73,CIAP-2 S73,ciap_to_ciap
179,S73,Pediculose/outras infecções da pele,ciap_to_ciap_title
180,S73,CID-10 B88.9,ciap_to_cid
181,S73,CID-10 B889,ciap_to_cid
182,S73,CID-10 B85,ciap_to_other_cids
184,S73,CID-10 B87,ciap_to_other_cids
186,S73,CID-10 B88.1,ciap_to_other_cids
187,S73,CID-10 B881,ciap_to_other_cids
188,S73,CID-10 B88.3,ciap_to_other_cids
189,S73,CID-10 B883,ciap_to_other_cids
190,S73,CID-10 B88.8,ciap_to_other_cids
191,S73,CID-10 B888,ciap_to_other_cids
192,S73,CID-10 B88.9,ciap_to_other_cids
193,S73,CID-10 B889,ciap_to_other_cids
194,A90,"trissomia 18, mosaico cromossômico",ciap_to_text
195,A90,CIAP-2 A90,ciap_to_ciap
196,A90,Malformação congênita NE/múltiplas,ciap_to_ciap_title
197,A90,CID-10 Q91.1,ciap_to_cid
198,A90,CID-10 Q911,ciap_to_cid
199,A90,CID-10 Q85,ciap_to_other_cids
201,A90,CID-10 Q86,ciap_to_other_cids
203,A90,CID-10 Q87,ciap_to_other_cids
205,A90,CID-10 Q89.3,ciap_to_other_cids
206,A90,CID-10 Q893,ciap_to_other_cids
207,A90,CID-10 Q89.4,ciap_to_other_cids
208,A90,CID-10 Q894,ciap_to_other_cids
209,A90,CID-10 Q89.7,ciap_to_other_cids
210,A90,CID-10 Q897,ciap_to_other_cids
211,A90,CID-10 Q89.9,ciap_to_other_cids
212,A90,CID-10 Q899,ciap_to_other_cids
213,A90,CID-10 Q90,ciap_to_other_cids
215,A90,CID-10 Q91,ciap_to_other_cids
217,A90,CID-10 Q92,ciap_to_other_cids
219,A90,CID-10 Q93,ciap_to_other_cids
221,A90,CID-10 Q95,ciap_to_other_cids
223,A90,CID-10 Q96,ciap_to_other_cids
225,A90,CID-10 Q97,ciap_to_other_cids
227,A90,CID-10 Q98,ciap_to_other_cids
229,A90,CID-10 Q99,ciap_to_other_cids
231,R89,obstrução congênita da laringe,ciap_to_text
232,R89,CIAP-2 R89,ciap_to_ciap
233,R89,Malformação congênita do aparelho respiratório,ciap_to_ciap_title
234,R89,CID-10 Q31.8,ciap_to_cid
235,R89,CID-10 Q318,ciap_to_cid
236,R89,CID-10 Q30,ciap_to_other_cids
238,R89,CID-10 Q31,ciap_to_other_cids
240,R89,CID-10 Q32,ciap_to_other_cids
242,R89,CID-10 Q33,ciap_to_other_cids
244,R89,CID-10 Q34,ciap_to_other_cids
246,B71,bubão inguinal,ciap_to_text
247,B71,CIAP-2 B71,ciap_to_ciap
248,B71,Linfadenite crónica NE,ciap_to_ciap_title
249,B71,CID-10 I88.8,ciap_to_cid
250,B71,CID-10 I888,ciap_to_cid
251,B71,CID-10 I88,ciap_to_other_cids
253,B82,anemia atípica,ciap_to_text
254,B82,CIAP-2 B82,ciap_to_ciap
255,B82,Outras anemias NE,ciap_to_ciap_title
256,B82,CID-10 D64.9,ciap_to_cid
257,B82,CID-10 D649,ciap_to_cid
258,B82,CID-10 D46,ciap_to_other_cids
260,B82,CID-10 D53,ciap_to_other_cids
262,B82,CID-10 D55,ciap_to_other_cids
264,B82,CID-10 D59,ciap_to_other_cids
266,B82,CID-10 D60,ciap_to_other_cids
268,B82,CID-10 D61.3,ciap_to_other_cids
269,B82,CID-10 D613,ciap_to_other_cids
270,B82,CID-10 D61.8,ciap_to_other_cids
271,B82,CID-10 D618,ciap_to_other_cids
272,B82,CID-10 D61.9,ciap_to_other_cids
273,B82,CID-10 D619,ciap_to_other_cids
274,B82,CID-10 D62,ciap_to_other_cids
276,B82,CID-10 D63,ciap_to_other_cids
278,B82,CID-10 D64.1,ciap_to_other_cids
279,B82,CID-10 D641,ciap_to_other_cids
280,B82,CID-10 D64.3,ciap_to_other_cids
281,B82,CID-10 D643,ciap_to_other_cids
282,B82,CID-10 D64.8,ciap_to_other_cids
283,B82,CID-10 D648,ciap_to_other_cids
284,B82,CID-10 D64.9,ciap_to_other_cids
285,B82,CID-10 D649,ciap_to_other_cids
286,D91,hérnia gástrica estrangulada com gangrena,ciap_to_text
287,D91,CIAP-2 D91,ciap_to_ciap
288,D91,"Hérnia abdominal, outras",ciap_to_ciap_title
289,D91,CID-10 K46.1,ciap_to_cid
290,D91,CID-10 K461,ciap_to_cid
291,D91,CID-10 K41,ciap_to_other_cids
293,D91,CID-10 K42,ciap_to_other_cids
295,D91,CID-10 K43,ciap_to_other_cids
297,D91,CID-10 K45,ciap_to_other_cids
299,D91,CID-10 K46,ciap_to_other_cids
301,R99,insuficiência respiratória aguda,ciap_to_text
302,R99,CIAP-2 R99,ciap_to_ciap
303,R99,Outras doenças respiratórias,ciap_to_ciap_title
304,R99,CID-10 J96.0,ciap_to_cid
305,R99,CID-10 J960,ciap_to_cid
306,R99,CID-10 J33,ciap_to_other_cids
308,R99,CID-10 J34.1,ciap_to_other_cids
309,R99,CID-10 J341,ciap_to_other_cids
310,R99,CID-10 J34.2,ciap_to_other_cids
311,R99,CID-10 J342,ciap_to_other_cids
312,R99,CID-10 J34.3,ciap_to_other_cids
313,R99,CID-10 J343,ciap_to_other_cids
314,R99,CID-10 J34.8,ciap_to_other_cids
315,R99,CID-10 J348,ciap_to_other_cids
316,R99,CID-10 J38,ciap_to_other_cids
318,R99,CID-10 J39,ciap_to_other_cids
320,R99,CID-10 J47,ciap_to_other_cids
322,R99,CID-10 J60,ciap_to_other_cids
324,R99,CID-10 J61,ciap_to_other_cids
326,R99,CID-10 J62,ciap_to_other_cids
328,R99,CID-10 J63,ciap_to_other_cids
330,R99,CID-10 J64,ciap_to_other_cids
332,R99,CID-10 J65,ciap_to_other_cids
334,R99,CID-10 J66,ciap_to_other_cids
336,R99,CID-10 J67,ciap_to_other_cids
338,R99,CID-10 J68,ciap_to_other_cids
340,R99,CID-10 J69,ciap_to_other_cids
342,R99,CID-10 J70,ciap_to_other_cids
344,R99,CID-10 J80,ciap_to_other_cids
346,R99,CID-10 J81,ciap_to_other_cids
348,R99,CID-10 J82,ciap_to_other_cids
350,R99,CID-10 J84,ciap_to_other_cids
352,R99,CID-10 J92,ciap_to_other_cids
354,R99,CID-10 J93,ciap_to_other_cids
356,R99,CID-10 J96,ciap_to_other_cids
358,R99,CID-10 J98,ciap_to_other_cids
360,R99,CID-10 J99,ciap_to_other_cids
362,R99,CID-10 Z90.2,ciap_to_other_cids
363,R99,CID-10 Z902,ciap_to_other_cids
364,X11,vaginite atrófica,ciap_to_text
365,X11,CIAP-2 X11,ciap_to_ciap
366,X11,Sinais/sintomas da menopausa/ climatério,ciap_to_ciap_title
367,X11,CID-10 N95.2,ciap_to_cid
368,X11,CID-10 N952,ciap_to_cid
369,X11,CID-10 N95.1,ciap_to_other_cids
370,X11,CID-10 N951,ciap_to_other_cids
371,X11,CID-10 N95.2,ciap_to_other_cids
372,X11,CID-10 N952,ciap_to_other_cids
373,X11,CID-10 N95.3,ciap_to_other_cids
374,X11,CID-10 N953,ciap_to_other_cids
375,X11,CID-10 N95.8,ciap_to_other_cids
376,X11,CID-10 N958,ciap_to_other_cids
377,X11,CID-10 N95.9,ciap_to_other_cids
378,X11,CID-10 N959,ciap_to_other_cids
379,S15,corpo estranho superficial da parede anterior da caixa torácica,ciap_to_text
380,S15,CIAP-2 S15,ciap_to_ciap
381,S15,Corpo estranho na pele,ciap_to_ciap_title
382,S15,CID-10 S20.3,ciap_to_cid
383,S15,CID-10 S203,ciap_to_cid
384,S15,CID-10 S00.0,ciap_to_other_cids
385,S15,CID-10 S000,ciap_to_other_cids
386,S15,CID-10 S00.2,ciap_to_other_cids
387,S15,CID-10 S002,ciap_to_other_cids
388,S15,CID-10 S00.3,ciap_to_other_cids
389,S15,CID-10 S003,ciap_to_other_cids
390,S15,CID-10 S00.4,ciap_to_other_cids
391,S15,CID-10 S004,ciap_to_other_cids
392,S15,CID-10 S00.5,ciap_to_other_cids
393,S15,CID-10 S005,ciap_to_other_cids
394,S15,CID-10 S00.7,ciap_to_other_cids
395,S15,CID-10 S007,ciap_to_other_cids
396,S15,CID-10 S00.8,ciap_to_other_cids
397,S15,CID-10 S008,ciap_to_other_cids
398,S15,CID-10 S00.9,ciap_to_other_cids
399,S15,CID-10 S009,ciap_to_other_cids
400,S15,CID-10 S10.1,ciap_to_other_cids
401,S15,CID-10 S101,ciap_to_other_cids
402,S15,CID-10 S10.7,ciap_to_other_cids
403,S15,CID-10 S107,ciap_to_other_cids
404,S15,CID-10 S10.8,ciap_to_other_cids
405,S15,CID-10 S108,ciap_to_other_cids
406,S15,CID-10 S10.9,ciap_to_other_cids
407,S15,CID-10 S109,ciap_to_other_cids
408,S15,CID-10 S20.1,ciap_to_other_cids
409,S15,CID-10 S201,ciap_to_other_cids
410,S15,CID-10 S20.3,ciap_to_other_cids
411,S15,CID-10 S203,ciap_to_other_cids
412,S15,CID-10 S20.4,ciap_to_other_cids
413,S15,CID-10 S204,ciap_to_other_cids
414,S15,CID-10 S20.7,ciap_to_other_cids
415,S15,CID-10 S207,ciap_to_other_cids
416,S15,CID-10 S20.8,ciap_to_other_cids
417,S15,CID-10 S208,ciap_to_other_cids
418,S15,CID-10 S30.7,ciap_to_other_cids
419,S15,CID-10 S307,ciap_to_other_cids
420,S15,CID-10 S30.8,ciap_to_other_cids
421,S15,CID-10 S308,ciap_to_other_cids
422,S15,CID-10 S30.9,ciap_to_other_cids
423,S15,CID-10 S309,ciap_to_other_cids
424,S15,CID-10 S40.7,ciap_to_other_cids
425,S15,CID-10 S407,ciap_to_other_cids
426,S15,CID-10 S40.8,ciap_to_other_cids
427,S15,CID-10 S408,ciap_to_other_cids
428,S15,CID-10 S50.7,ciap_to_other_cids
429,S15,CID-10 S507,ciap_to_other_cids
430,S15,CID-10 S50.8,ciap_to_other_cids
431,S15,CID-10 S508,ciap_to_other_cids
432,S15,CID-10 S60.7,ciap_to_other_cids
433,S15,CID-10 S607,ciap_to_other_cids
434,S15,CID-10 S60.8,ciap_to_other_cids
435,S15,CID-10 S608,ciap_to_other_cids
436,S15,CID-10 S70.7,ciap_to_other_cids
437,S15,CID-10 S707,ciap_to_other_cids
438,S15,CID-10 S70.8,ciap_to_other_cids
439,S15,CID-10 S708,ciap_to_other_cids
440,S15,CID-10 S80.7,ciap_to_other_cids
441,S15,CID-10 S807,ciap_to_other_cids
442,S15,CID-10 S80.8,ciap_to_other_cids
443,S15,CID-10 S808,ciap_to_other_cids
444,S15,CID-10 S90.7,ciap_to_other_cids
445,S15,CID-10 S907,ciap_to_other_cids
446,S15,CID-10 S90.8,ciap_to_other_cids
447,S15,CID-10 S908,ciap_to_other_cids
448,S15,CID-10 T09.0,ciap_to_other_cids
449,S15,CID-10 T090,ciap_to_other_cids
450,S15,CID-10 T11.0,ciap_to_other_cids
451,S15,CID-10 T110,ciap_to_other_cids
452,S15,CID-10 T13.0,ciap_to_other_cids
453,S15,CID-10 T130,ciap_to_other_cids
454,S15,CID-10 T14.0,ciap_to_other_cids
455,S15,CID-10 T140,ciap_to_other_cids
456,S15,CID-10 T14.1,ciap_to_other_cids
457,S15,CID-10 T141,ciap_to_other_cids
458,L82,ausência congênita de diafragma,ciap_to_text
459,L82,CIAP-2 L82,ciap_to_ciap
460,L82,Malformações congênitas do aparelho músculo-esquelético,ciap_to_ciap_title
461,L82,CID-10 Q79.1,ciap_to_cid
462,L82,CID-10 Q791,ciap_to_cid
463,L82,CID-10 Q65,ciap_to_other_cids
465,L82,CID-10 Q66,ciap_to_other_cids
467,L82,CID-10 Q67,ciap_to_other_cids
469,L82,CID-10 Q68,ciap_to_other_cids
471,L82,CID-10 Q69,ciap_to_other_cids
473,L82,CID-10 Q70,ciap_to_other_cids
475,L82,CID-10 Q71,ciap_to_other_cids
477,L82,CID-10 Q72,ciap_to_other_cids
479,L82,CID-10 Q73,ciap_to_other_cids
481,L82,CID-10 Q74,ciap_to_other_cids
483,L82,CID-10 Q75,ciap_to_other_cids
485,L82,CID-10 Q76,ciap_to_other_cids
487,L82,CID-10 Q77,ciap_to_other_cids
489,L82,CID-10 Q78,ciap_to_other_cids
491,L82,CID-10 Q79,ciap_to_other_cids
493,D70,tricomoníase intestinal,ciap_to_text
494,D70,CIAP-2 D70,ciap_to_ciap
495,D70,Infecção gastrointestinal,ciap_to_ciap_title
496,D70,CID-10 A07.8,ciap_to_cid
497,D70,CID-10 A078,ciap_to_cid
498,D70,CID-10 A00,ciap_to_other_cids
500,D70,CID-10 A01,ciap_to_other_cids
502,D70,CID-10 A02,ciap_to_other_cids
504,D70,CID-10 A03,ciap_to_other_cids
506,D70,CID-10 A04,ciap_to_other_cids
508,D70,CID-10 A05,ciap_to_other_cids
510,D70,CID-10 A06,ciap_to_other_cids
512,D70,CID-10 A07,ciap_to_other_cids
514,D70,CID-10 A08,ciap_to_other_cids
516,A76,faringite linfo-nodular,ciap_to_text
517,A76,CIAP-2 A76,ciap_to_ciap
518,A76,Outro exantema viral,ciap_to_ciap_title
519,A76,CID-10 B08.8,ciap_to_cid
520,A76,CID-10 B088,ciap_to_cid
521,A76,CID-10 A88.0,ciap_to_other_cids
522,A76,CID-10 A880,ciap_to_other_cids
523,A76,CID-10 B03,ciap_to_other_cids
525,A76,CID-10 B04,ciap_to_other_cids
527,A76,CID-10 B08.0,ciap_to_other_cids
528,A76,CID-10 B080,ciap_to_other_cids
529,A76,CID-10 B08.2,ciap_to_other_cids
530,A76,CID-10 B082,ciap_to_other_cids
531,A76,CID-10 B08.3,ciap_to_other_cids
532,A76,CID-10 B083,ciap_to_other_cids
533,A76,CID-10 B08.4,ciap_to_other_cids
534,A76,CID-10 B084,ciap_to_other_cids
535,A76,CID-10 B08.8,ciap_to_other_cids
536,A76,CID-10 B088,ciap_to_other_cids
537,A76,CID-10 B09,ciap_to_other_cids
539,-54,tratamento de fratura da patela,ciap_to_text
540,-54,CIAP-2 -54,ciap_to_ciap
541,-54,Reparação/sutura/gesso/prótese,ciap_to_ciap_title
542,-54,CID-10 nan,ciap_to_cid
544,-54,CID-10 nan,ciap_to_other_cids
546,A82,sequela tardia de uma lesão do dorso por esmagamento,ciap_to_text
547,A82,CIAP-2 A82,ciap_to_ciap
548,A82,Efeito secundário de lesão traumática,ciap_to_ciap_title
549,A82,CID-10 T91.8,ciap_to_cid
550,A82,CID-10 T918,ciap_to_cid
551,A82,CID-10 T79.0,ciap_to_other_cids
552,A82,CID-10 T790,ciap_to_other_cids
553,A82,CID-10 T79.1,ciap_to_other_cids
554,A82,CID-10 T791,ciap_to_other_cids
555,A82,CID-10 T79.2,ciap_to_other_cids
556,A82,CID-10 T792,ciap_to_other_cids
557,A82,CID-10 T79.4,ciap_to_other_cids
558,A82,CID-10 T794,ciap_to_other_cids
559,A82,CID-10 T79.5,ciap_to_other_cids
560,A82,CID-10 T795,ciap_to_other_cids
561,A82,CID-10 T79.7,ciap_to_other_cids
562,A82,CID-10 T797,ciap_to_other_cids
563,A82,CID-10 T79.8,ciap_to_other_cids
564,A82,CID-10 T798,ciap_to_other_cids
565,A82,CID-10 T79.9,ciap_to_other_cids
566,A82,CID-10 T799,ciap_to_other_cids
567,A82,CID-10 T90,ciap_to_other_cids
569,A82,CID-10 T91,ciap_to_other_cids
571,A82,CID-10 T92,ciap_to_other_cids
573,A82,CID-10 T93,ciap_to_other_cids
575,A82,CID-10 T94,ciap_to_other_cids
577,A82,CID-10 T95,ciap_to_other_cids
579,A82,CID-10 T96,ciap_to_other_cids
581,A82,CID-10 T97,ciap_to_other_cids
583,A82,CID-10 T98,ciap_to_other_cids
585,R89,ectopia congênita de tecido no pulmão,ciap_to_text
588,R89,CID-10 Q33.5,ciap_to_cid
589,R89,CID-10 Q335,ciap_to_cid
600,S83,mancha congênita vinho,ciap_to_text
601,S83,CIAP-2 S83,ciap_to_ciap
602,S83,"Lesões da pele congênitas, outras",ciap_to_ciap_title
603,S83,CID-10 Q82.5,ciap_to_cid
604,S83,CID-10 Q825,ciap_to_cid
605,S83,CID-10 Q80,ciap_to_other_cids
607,S83,CID-10 Q81,ciap_to_other_cids
609,S83,CID-10 Q82,ciap_to_other_cids
611,S83,CID-10 Q84,ciap_to_other_cids
613,D99,esclerose do pâncreas,ciap_to_text
614,D99,CIAP-2 D99,ciap_to_ciap
615,D99,Outra doença do aparelho digestivo,ciap_to_ciap_title
616,D99,CID-10 K86.8,ciap_to_cid
617,D99,CID-10 K868,ciap_to_cid
618,D99,CID-10 K31,ciap_to_other_cids
620,D99,CID-10 K38,ciap_to_other_cids
622,D99,CID-10 K52.1,ciap_to_other_cids
623,D99,CID-10 K521,ciap_to_other_cids
624,D99,CID-10 K52.2,ciap_to_other_cids
625,D99,CID-10 K522,ciap_to_other_cids
626,D99,CID-10 K52.8,ciap_to_other_cids
627,D99,CID-10 K528,ciap_to_other_cids
628,D99,CID-10 K52.9,ciap_to_other_cids
629,D99,CID-10 K529,ciap_to_other_cids
630,D99,CID-10 K55,ciap_to_other_cids
632,D99,CID-10 K56.0,ciap_to_other_cids
633,D99,CID-10 K560,ciap_to_other_cids
634,D99,CID-10 K56.1,ciap_to_other_cids
635,D99,CID-10 K561,ciap_to_other_cids
636,D99,CID-10 K56.2,ciap_to_other_cids
637,D99,CID-10 K562,ciap_to_other_cids
638,D99,CID-10 K56.3,ciap_to_other_cids
639,D99,CID-10 K563,ciap_to_other_cids
640,D99,CID-10 K56.5,ciap_to_other_cids
641,D99,CID-10 K565,ciap_to_other_cids
642,D99,CID-10 K56.6,ciap_to_other_cids
643,D99,CID-10 K566,ciap_to_other_cids
644,D99,CID-10 K56.7,ciap_to_other_cids
645,D99,CID-10 K567,ciap_to_other_cids
646,D99,CID-10 K59.2,ciap_to_other_cids
647,D99,CID-10 K592,ciap_to_other_cids
648,D99,CID-10 K59.3,ciap_to_other_cids
649,D99,CID-10 K593,ciap_to_other_cids
650,D99,CID-10 K59.8,ciap_to_other_cids
651,D99,CID-10 K598,ciap_to_other_cids
652,D99,CID-10 K59.9,ciap_to_other_cids
653,D99,CID-10 K599,ciap_to_other_cids
654,D99,CID-10 K62.2,ciap_to_other_cids
655,D99,CID-10 K622,ciap_to_other_cids
656,D99,CID-10 K62.3,ciap_to_other_cids
657,D99,CID-10 K623,ciap_to_other_cids
658,D99,CID-10 K62.4,ciap_to_other_cids
659,D99,CID-10 K624,ciap_to_other_cids
660,D99,CID-10 K62.6,ciap_to_other_cids
661,D99,CID-10 K626,ciap_to_other_cids
662,D99,CID-10 K62.7,ciap_to_other_cids
663,D99,CID-10 K627,ciap_to_other_cids
664,D99,CID-10 K62.8,ciap_to_other_cids
665,D99,CID-10 K628,ciap_to_other_cids
666,D99,CID-10 K62.9,ciap_to_other_cids
667,D99,CID-10 K629,ciap_to_other_cids
668,D99,CID-10 K63,ciap_to_other_cids
670,D99,CID-10 K65,ciap_to_other_cids
672,D99,CID-10 K66,ciap_to_other_cids
674,D99,CID-10 K67,ciap_to_other_cids
676,D99,CID-10 K85,ciap_to_other_cids
678,D99,CID-10 K86,ciap_to_other_cids
680,D99,CID-10 K87.1,ciap_to_other_cids
681,D99,CID-10 K871,ciap_to_other_cids
682,D99,CID-10 K90,ciap_to_other_cids
684,D99,CID-10 K91.1,ciap_to_other_cids
685,D99,CID-10 K911,ciap_to_other_cids
686,D99,CID-10 K91.2,ciap_to_other_cids
687,D99,CID-10 K912,ciap_to_other_cids
688,D99,CID-10 K91.5,ciap_to_other_cids
689,D99,CID-10 K915,ciap_to_other_cids
690,D99,CID-10 K91.8,ciap_to_other_cids
691,D99,CID-10 K918,ciap_to_other_cids
692,D99,CID-10 K91.9,ciap_to_other_cids
693,D99,CID-10 K919,ciap_to_other_cids
694,D99,CID-10 K92.2,ciap_to_other_cids
695,D99,CID-10 K922,ciap_to_other_cids
696,D99,CID-10 K92.8,ciap_to_other_cids
697,D99,CID-10 K928,ciap_to_other_cids
698,D99,CID-10 K92.9,ciap_to_other_cids
699,D99,CID-10 K929,ciap_to_other_cids
700,D99,CID-10 K93,ciap_to_other_cids
702,D99,CID-10 Z90.3,ciap_to_other_cids
703,D99,CID-10 Z903,ciap_to_other_cids
704,D99,CID-10 Z90.4,ciap_to_other_cids
705,D99,CID-10 Z904,ciap_to_other_cids
706,D99,CID-10 Z94.4,ciap_to_other_cids
707,D99,CID-10 Z944,ciap_to_other_cids
708,D99,CID-10 Z98.0,ciap_to_other_cids
709,D99,CID-10 Z980,ciap_to_other_cids
710,L99,polimiosite ossificante,ciap_to_text
713,L99,CID-10 M61.1,ciap_to_cid
714,L99,CID-10 M611,ciap_to_cid
841,W83,aborto terapêutico,ciap_to_text
842,W83,CIAP-2 W83,ciap_to_ciap
