query,count
prurido vulva,4
Medicamento,4
nutrição,4
polipo endometrial,4
Dor no p,4
nasal,4
JOELHO,4
adenoma de papila de vater,4
postura,4
pólipo cólon,4
agenesia braço,4
adenoma hepático,4
j30,4
desenvolvimento,4
nodulo tireoidiano,4
seguimento pós,4
DIABETES,4
medo de cancer,4
adenoma da supra-renal,4
fisioterapia,4
DOR ABDOMINAL,4
efeito colateral de medicamento,4
medicação,4
w01,4
testosterona,4
nodulo na tireoide,4
fluxo menstrual,4
neoplasia maligna colon,4
esteatose ,4
luxação da patela,4
polipo colico,4
dor em cotovelo,4
nódulo hepático,4
diarreia cronica,4
mastalgia,4
ÚTERO,4
Teleangectasia,4
infecção bexiga,4
falta,4
ASma,4
rosacea,4
sopro cardiaco,4
p76,4
esteatose hepatica,4
S29,4
cinetose,4
-44,4
l27,4
glandula salivar,4
automutilação,4
polipose,4
pre operatorio,4
IAM,4
demanda por exames,4
artrose de ombro,4
itu,4
dor no dente,4
consulta de nutrição,4
ombros,4
falta de prazer,4
retocolite,4
I635,4
dor garganta,4
erisipela,4
Cicatriz,4
sintomas pós-parto,4
abscesso,4
pé torto congênito,4
contratura muscular,4
sutura,4
sofrimento psiquico,4
mãos,4
vaginose bacteriana,4
dieta,4
TOSSE,4
sintomas gastrointestinais,4
Esteatose,4
infecção urinária recorrente,4
S08,4
sintomas gripais,4
dor no pe,4
palpebra,4
A27,4
forame oval patente,4
sangue,4
conjuntivite,4
picada,4
aborto espontâeno,4
acidente isquêmico transitorio,4
hordeolo,4
hiperuricemia,4
ist,4
dor no corpo,4
doente,4
neoplasia,4
gases,4
aneurisma aorta torácica,4
trombose venosa cerebral,4
pós operatorio,4
trsiteza,4
dores,4
Mal estar,4
l14,4
a60,4
conflito,4
alergia pele,4
queda da propria altura,4
linfonodos,4
dor mama,4
a80,4
candidíase recorrente,4
urticaria,4
exame figado alterado,4
rinossinusite,4
calculo renal,4
hepatite medicamento,4
caimbra,4
a89,4
quadril ,4
colica abdominal,4
rigidez dedo pé,4
cancer de mama,4
alteração na pele,4
pancreatite,4
l01,4
doença arterial periferica,4
F29,4
história familiar,4
sede,4
audição,4
hernia discal,3
cough,3
parentalidade,3
calculo na vesicula,3
assimetria de membros inferiores,3
a77 coronavirus,3
abuso medicaçao,3
ABORTO,3
p18,3
dormência,3
fungo,3
descamação,3
r41,3
peito,3
acupuntura,3
hérnia,3
s21,3
fala,3
candidiase masculina,3
Bauchschmerzen,3
adm,3
derrame pleural,3
cisto sebáceo,3
CID K21 Doença de refluxo gastroesofágico,3
bartholin,3
pólipo ,3
chiador,3
toose,3
hipertensão secundaria,3
fator de risco cardiovascular,3
penis,3
infecção pele,3
dor ouvido,3
ulcera cronica,3
linfoma,3
suspeita gravidez,3
desconforto gástrico,3
CARDIOPATIA,3
papulas,3
angiomiolipoma,3
sangramento penis,3
basocelular,3
desidrose,3
R88,3
suicídio,3
dor em panturrilha,3
espirometria,3
Dismenorreia,3
atrofia vaginal,3
dor em mamas,3
lipotimia,3
cor diferente de urina,3
hoge,3
sinais pé,3
anticoncepçao,3
ovario,3
otite externa,3
Curativo,3
oculos,3
Faringite alergica,3
a04,3
pes,3
autocuidado,3
genital feminino,3
Acne,3
pneumonia comunidade,3
constipacao,3
glicose alterada,3
d06,3
rim ferradura,3
disfuncao erecao,3
respiração oral,3
hérnia umbilical,3
UNHA,3
medo dst,3
R99,3
dor em mão,3
planejamento reprodutivo,3
Anticoncepcional,3
r91,3
dor menstrual,3
ROTINA,3
exames alterados,3
acromegalia,3
trauma em face,3
ANAL,3
X14,3
ovario policistico,3
ligamento tornozelo,3
confusão,3
redução da acuidade visual,3
bebê chiador,3
H01,3
r73,3
hernia de hiato,3
i10,3
Lesão pé,3
alteracao laborial,3
sedentario,3
doença celíaca,3
e831,3
ginecologia,3
aleitamento,3
perda auditi,3
colica renal,3
lipedema,3
mobilidade,3
Disfunção erétil,3
colite inflamatória,3
hepatite aguda B,3
disturbios do sono,3
l02,3
escape,3
lábio,3
corpo estranho na pele,3
mandibula,3
protese mamaria,3
hipoacusia,3
falta de olfato,3
barriga dor,3
cisto aracnoide,3
investigação cardiaca,3
presbiacusia,3
desvio septo,3
parto sem complicações,3
crise de ansiedade,3
Tremor,3
divórcio,3
artrose em mãos,3
medo de doença de mama,3
renovação receita,3
tvp,3
ferro,3
fratura fíbula,3
hipertensão arterial sistemica,3
transposição de grandes artérias,3
adolescente,3
dor abdo,3
Azia,3
dor para urinar,3
dor nariz,3
machas na pele,3
queda da própria altura,3
testículo dolorido,3
aneurisma cerebral,3
estatura,3
d70,3
Falta de ar,3
peyronie,3
hematoma intracraniano,3
sedentário,3
ptiriase,3
apatia,3
hipotiroidismo cid,3
l29,3
pólipo endometrial,3
pos bariatrica,3
tuberculose,3
cirurgia bariátrica,3
x15,3
Ivas,3
viral,3
calculo biliar,3
neoplasia maligna sistema nervoso central,3
mostrar exames,3
nódulo de mama,3
herpes zoster,3
x29,3
trabalho de parto,3
toc,3
reto,3
sincop,3
medicamento abuso,3
polifarmacia,3
colateral,3
fertilização in vitro,3
Lupus,3
sindrome ovarios,3
anosmia,3
risco de fratura,3
asdfasdf,3
Autismo,3
lingua,3
estomago,3
a03,3
bebe chiador,3
agressão,3
hormonização,3
dor na barriga,3
L17,3
h01,3
impetigo,3
queratose actínica,3
rotura tendão ombro,3
risco de ist,3
d09,3
seca,3
pélvica,3
j350,3
CID R102 Dor pélvica e perineal,3
enterobiase,3
violento,3
ERRO ALIMENTAR,3
gengiva,3
tremor essencial,3
t93,3
fator V,3
dor para fazer o número 2,3
sofrimento mental,3
tendinopatia,3
tentativa de suicidio,3
disturbio ansioso,3
respiratório,3
sinais e sintomas anais,3
Bulimia,3
oftalmologista,3
obstipação,3
Gripe,3
pele seca,3
medo de doença sexual,3
indisposição,3
prematuro,3
poliartralgia,3
Cirurgia Bariátrica  ,3
w78,3
s61,3
defciti de atenção,3
transsexualidade,3
I653,3
suor excessivo,3
má adesão,3
neoplasia pulmao,3
Esteatose hepática ,3
mudança de país,3
Glaucoma,3
reação,3
problema com o marido,3
retirada de pontos,3
d13,3
piercing,3
-62,3
hiv assintomatico,3
caroço,3
vitamina d baixa,3
-59,3
transtorno de deficit de atenção,3
fibrilação atrial,3
alimentar,3
adverso,3
infeccao via area,3
bloqueio atrioventricular,3
Covid,3
pelve,3
retardo mental,3
k03,3
kawazaki,3
vitaminas,3
cólica menstrual,3
inguinal,3
dor em dedo,3
lombalgia cronica,3
Dor nas costas ,3
dor no olho,3
hernia inguinal,3
ASMA,3
pressao alterada,3
A80,3
uso frequente medicamento,3
diabetes tipo 1,3
dor renal,3
bromidrose,3
l26,3
feminino,3
perda de audição,3
MENSTRUAÇÃO FREQUENTE,3
racismo,3
DEMÊNCIA,3
sindromi,3
polipo colo uterino,3
demanda administrativa,3
menisco,3
dor no quadril,3
fratura exposta,3
pós-parto,3
tumoração,3
pos cirurgico,3
mandíbula,3
micose pés,3
rinite alergica,3
Transtornos de discos lombares e de outros discos intervertebrais com radiculopatia,3
prurido ocular,3
calazio,3
dheg,3
Doente,3
infeccao trato urinario,3
degeneração gordurosa,3
cardiomegalia,3
cãimbra,3
A11,3
Consulta com especialista,3
-54,3
dor de dente,3
climaterio,3
icc,3
ptose palpebral,3
acompanhamento,3
mal-estar,3
hematúria,3
cia,3
PUERICULTURA,3
diverticulite,3
gravidez de alto risco,3
Pe,3
risco de infecção,3
s16,3
fabry,3
ansiedade ,3
anal ,3
falta de energia,3
herpes labial,3
Stevens-johnson,3
resultados,3
musculo,3
Asma,3
membros inferiores,3
Dor torácica,3
fadiga crônica,3
bradicardia,3
L04,3
 pé,3
agressividade,3
z723,3
diástase,3
Nódulo tireoide ok,3
coleta papanicolau,3
iatrogenia,3
vitiligo,3
OLHO,3
busca por saude,3
bursite trocantérica,3
torax,3
saúde,3
respiração,3
escabiose,3
infarto,3
dislexia,3
flebite,3
glaucoma,3
VOMITO,3
dor abd,3
dor calcanhar,3
Corrimento vaginal,3
Cansaço,3
dor na virilha,3
Cefaléia ,3
triglicerides,3
tontura movimento,3
relação sexual desprotegida,3
miocardite aguda,3
IST,3
r25,3
Ic,3
Papanicolau,3
sincope,3
seio,3
u88,3
dor no mamilo,3
ENDOMETRIOSE,3
gordura no fígado,3
pos operatorio,3
dor testicular,3
pé torto,3
artralgia,3
uso abusivo de esteróides,3
Lombalgia,3
infecção sexual,3
pós cirurgia gástrica,3
prostração,3
p29,3
rosto,3
ABDOME,3
prognatismo,3
joelhos,3
dor de estômago,3
r05,3
plicoma,3
polipo gastrico,3
problema com vizinho,3
humor,3
Puericultura ,3
nódulo ,3
plantar,3
quer fazer exames,3
dor no calcanhar,3
Sinusite,3
Refluxo,3
aneurisma carotidas,3
anticoagulação,3
devio de septo,3
familiar,3
laqueadura,3
P09,3
tendinite patelar,3
testículo,3
pe,3
adoecimento de familiar,3
r21,3
risco,3
catarata,3
degeneração macular relacionada à idade (DMRI),3
D02,3
dor generalizada,3
ocular,3
fratura,3
ingurgitamento das mamas,3
faringe,3
avaliação de exame,3
l13,3
g25,3
L20,3
pressão elevada,3
inapetencia,3
Neoplasia mama,3
tinha dos pés,3
beuren,3
falta de autocuidado,3
gestante,3
hipertrofia de adenoides,3
problema social,3
sinais e sintomas do tornozelo,3
anomalia detectada em exame por imagem do fígado,3
r250,3
Fibroma mole,3
dor pe,3
Kawasaki,3
anciosa,3
hipermobilidade,3
abuso medicamento,3
psof,3
lesão na pele,3
Depressão,3
Receita,3
urinario,3
tumor colon incerto,3
bullying,3
CHAGAS,3
enfisema,3
-60,3
violência,2
Enxaqueca,2
hernia umbilical,2
x12,2
exame fisico geral,2
Muscular,2
LUXAÇÃO,2
acidente vascular cerebral,2
U29,2
dor em membro,2
hipertensão na gestação,2
obstrução nasal ,2
alteração de pele,2
Coleta de papanicolau,2
xerostomia,2
convulsao,2
a23 aborto,2
OUVIDO ENTUPIDO,2
trauma na face,2
extrassistole,2
Cálculo renal,2
insonia ,2
Icc ,2
dor em hipogastro,2
entorse de tornozelo,2
tosse febre ,2
sangue fezes,2
CIANOSE,2
Pressão arterial,2
rinossinusite ,2
uso de medicamentos,2
pos parto,2
plagiocefalia,2
Medo de cancer,2
prótese joelho,2
companheiro viciado,2
artrose coluna lombar ,2
Cefaléia,2
hiperidrose,2
hemorróida,2
problema com doença de familiar,2
do buik,2
abdome agudo,2
investiga,2
hipovitaminose,2
polifagia,2
PESCOÇO,2
vitamina b12,2
covid positivo,2
entorce tornozelo,2
-53,2
tumor colon,2
foliculite couro cabeludo,2
DIARREIA,2
contracepcao,2
nodulo subcutaneo,2
xerodermia,2
x16,2
s01,2
Pressão alterada,2
metrorragia,2
perdeu 9 kgs,2
medo de diabetes,2
ptose ,2
