,query,concluded,relevant_results
84,ferimento em perna,False,
85,adenoma da supra-renal,False,
86,z960,False,
87,doença imunologica,False,
88,CANDIDIASE,False,
89,perda de força,False,
90,trombocitose,False,
91,R74,False,
92,medo doença urinária,False,
93,Testosterona exogena,False,
94,amidalite,False,
95,epilepsia ausência,False,
96,tromboflebite superficial de uma perna,False,
97,alteração em eletrocardiograma,False,
98,nao cmopareceu,False,
99,malformação antebraço,False,
100,problemas escolares,False,
101,busca ativa sem sucesso,False,
102,picada,False,
103,ruptura ligamento,False,
104,DEFICIÊNCIA AUDITIVA,False,
105,saude mulher,False,
106,traz exames solicitados por médico,False,
107,batida no joelho,False,
108,dúvida,False,
109,Pernas,False,
110,nódulo,False,
111,lipossarcom,False,
112,ruptura ligamento cruzado joelho,False,
113,bloqueio atrio ventricular,False,
114,gastralgia,False,
115,hiperbilirrubinemia,False,
116,Dormência,False,
117,NEVOS/SINAIS DA PELE,False,
118,siringoma,False,
119,FASCEITE PLANTAR,False,
120,tontura movimento,False,
121,ferida no pé,False,
122,LIPOTIMIA,False,
123,dor no ombro,False,
124,lesão em olhos,False,
125,Congestão nasal,False,
126,embriagues,False,
127,olho seco,False,
128,dor na panturlha,False,
129,cicatriz cirúrgica,False,
130,adaptação,False,
131,versiclor,False,
132,Pé torto eqüinovaro,False,
133,adenoma hipofisario,False,
134,sonda,False,
135,pisicológicos,False,
136,caibra,False,
137,N01,False,
138,primeiros dentes,False,
139,Aborto,False,
140,saturação,False,
141,obsessivo-compulsivo,False,
142,dor em coccix,False,
143,atividade fisica se sente mal,False,
144,APS,False,
145,alterado,False,
146,dificuldade dee concentração,False,
147,febre sem sinais a esclarecer,False,
148,nevod pele,False,
149,estatura,False,
150,audiometria,False,
151,manguito rotador,False,
152,pingecula,False,
153,tosse febre ,False,
154,sinais do pé,False,
155,a45,False,
156,desejo de nengravid,False,
157,abuso de medicamento,False,
158,pós-aborto,False,
159,efeito e medicação,False,
160,surdez súbita,False,
161,dor de cabeça e vômito,False,
162,Batida,False,
163,ESTRIAS,False,
164,mental,False,
165,rastreamento  resultado,False,
166,alteração exma,False,
167,síndrome pós colecistectomia,False,
168,histtórico de pancreatite,False,
169,ligamento,False,
170,suor excessivo,False,
171,problema familiar,False,
172,Medo,False,
173,blefarocalase,False,
174,colica mentrual,False,
175,diarrhoea,False,
176,rotura de ligamento do joelho,False,
177,alteração de colo de utero,False,
178,acolia,False,
179,Covid,False,
180,CID N63 Nódulo mamário não especificado,False,
181,torsicolo,False,
182,varizes mmii,False,
183,estresse pós traumático,False,
184,CONSTIPAÇÃO,False,
185,Dor pélvica crônica,False,
186,filho usuário de cocaína,False,
187,shen,False,
188,perniose,False,
189,picadas de pulga,False,
190,Z292,False,
191,incontin,False,
192,fibroma mole,False,
193,rim policistico,False,
194,"vomito, dor na garriga",False,
195,dificuldade de ereção,False,
196,A30,False,
197,diu ,False,
198,cpk elevada,False,
199,carrapato mordedura,False,
200,dor abdominal na gestação,False,
201,exame admissional,False,
202,DUVIDAS SOBRE IST,False,
203,cicatrização,False,
204,cid 63.4,False,
205, insuficiência venosa profunda,False,
206,investig,False,
207,aminiótico,False,
208,torac,False,
209,Reabilitação ,False,
210,tumor,False,
211,monitoramento,False,
212,dor de cabeça,False,
213,dispaurenia ,False,
214,doença arterial periférica,False,
215,Renovar receitas,False,
216,Delírio ,False,
217,pneumologista,False,
218,problemas com conjuge,False,
219,uretrite,False,
220,piolho,False,
221,hiperuricemia,False,
222,hérnia,False,
223,artrose mãos,False,
224,formigamento em pe,False,
225,S99,False,
226,aneurisma aorta torácica,False,
227,r250,False,
228,fluxo vaginal,False,
229,abuso de medicação,False,
230,fungo na pele,False,
231,taquicardia,False,
232,Diabete,False,
233,sangramento gastrointestinal,False,
234,aumento da glicemia,False,
235,contraindicação,False,
236,x82,False,
237,obesidadee,False,
238,dor na barriga,False,
239,rastreamento cancer de colo utero,False,
240,Lesão pé,False,
241,LUTO,False,
242,Renal,False,
243,"""Quando um vento começou a doar aqui no peito. Um doar com pressão.""",False,
244,"Febre, tosse e dispneia",False,
245,macroadenoma,False,
246,lesao na boca,False,
247,a87 contracepçao,False,
248,hérnia hiatal,False,
249,coluria,False,
250,hpb,False,
251,j303,False,
252,pré-termo,False,
253,quelite angular,False,
254,mão,False,
255,problema com esposa,False,
256,pre operatorio,False,
257,dor braco,False,
258,avaliação pele,False,
259,exostose,False,
260,vesículas na pele,False,
261,retinoblastoma familia,False,
262,poliuria,False,
263,tremor essenial,False,
264,fibroma,False,
265,hepatite B crônica,False,
266,hipoti,False,
267,Oioi,False,
268,dor em punho,False,
269,linfonodo,False,
270,achado anormal,False,
271,Exegese de novo,False,
272,testosterona exogena,False,
273,Retirada de novo,False,
274,escoriação em ombro,False,
275,assistencial,False,
276,CIATICO,False,
277,R10,False,
278,30,False,
279,creatiina aumentada,False,
280,dor ,False,
281,Anticoncepção,False,
282,infecção urinária de repetição,False,
283,INTERCONSULTA ENFERMEIRO,False,
284,teleangectasias,False,
285,Alterações na pele,False,
286,relação sexual desprotegida,False,
287,aconselhamento,False,
288,dor na coluna cervical,False,
289,intolerância alimentar,False,
290,banda gástrica,False,
291,hoge,False,
292,uvida,False,
293,sinais e sintomas no joelho,False,
294,infertilidade,False,
295,nao comparece,False,
296,Labilidade,False,
297,diástase,False,
298,disfunção erétil,False,
299,abuso de substancias,False,
300,triste pós-parto,False,
301,ileopsoas,False,
302,g6,False,
303,Escapula,False,
304,abcesso perianal,False,
305,acumulador,False,
306,pé,False,
307,lupus eritematoso,False,
308,a23 alimentar,False,
309,massa magra,False,
310,congelamento de óvulos,False,
311,Transsexualismo ,False,
312,escotoma,False,
313,emissão de atestado,False,
314,Fimose,False,
315,cid entorse joelho,False,
316,Bipolar,False,
317,hematoma pele,False,
318,tendinite crônica polegar,False,
319,diminuicao de libido,False,
320,doença de Peyronie/,False,
321,ptiriase,False,
322,febre reumatica,False,
323,acidente ,False,
324,check up,False,
325,puericultura ,False,
326,coceira anal,False,
327,atraso menstrual,False,
328,azia gestante,False,
329,dificuldade,False,
330,problema com namorado,False,
331,suor,False,
332,Bicitopenka,False,
333,L29.8,False,
334,N308 Outras cistites,False,
335,efeito colateral de remedio,False,
336,Síndrome nefrótica,False,
337,doença arterial oclusiva periférica,False,
338,"CID D227 Nevo melanocítico dos membros inferiores, incluindo quadril",False,
339,Pedido de encaminhamento,False,
340,transtorno mental a esclarecer,False,
341,herpes simples ocular,False,
342,EXAME FOTALMOLOGICO,False,
343,corpo estranho no olho,False,
344,problemas do idoso,False,
345,lesão na orelha,False,
346,a. basilaris occlusion,False,
347,gigantismo,False,
348,antecedentes pessoais,False,
349,dor de garganta recorrente,False,
350,a61,False,
351,choque septico,False,
352,perda de massa ossea,False,
353,s29,False,
354,a43,False,
355,exame cardiovascular,False,
356,leucocitose,False,
357,"Tumefação, massa ou tumoração localizadas no membro inferior",False,
358,artery occlusion,False,
359,uso de substâncias ilícitas,False,
360,Soluçar,False,
361,FERIDA,False,
362,dor em membro,False,
363,joelhos,False,
364,ENDOVENOSO,False,
365,n01,False,
366,especialista,False,
367,PELE,False,
368,acidente de moto,False,
369,dist,False,
370,uso frequente medicamento sdfg asdf ds,False,
371,polipos intestino grosso,False,
372,AVC devido ao forame oval patente,False,
373,Olheira,False,
374,exsudato,False,
375,cisto sin,False,
376,transtorno obsessivo,False,
377,Transtorno não especificado da personalidade,False,
378,hipotireoidismo,False,
379,Dor torácica ,False,
380,rinosseptoplastia,False,
381,ruptura traumática de tendão do músculo supraespinhal,False,
382,corrimento ,False,
383,disfunção eretil,False,
384,inflamação em sutura,False,
385,SINTOMAS DOS PÉS,False,
386,ovario policistico,False,
387,Mancha de pele,False,
388,risco cirurgico ,False,
389,violência,False,
390,Orientação doença sexualmente transmissíveis,False,
391,soluços,False,
392,do buik,False,
393,a58,False,
394,laceração,False,
395,Exame geral de rotina de equipe esportiva,False,
396,inchaço no olho,False,
397,TCE,False,
398,HIV,False,
399,SOLUÇO,False,
400,preocupação ist,False,
401,linfonoo,False,
402,dificudade para se alimentar,False,
403,piúria,False,
404,dedo pé,False,
405,Divórcio,False,
406,Orientação dst,False,
407,Dislipidemoa,False,
408,neoplasia próstata ,False,
409,distrofia,False,
410,TRISTEZA,False,
411,trauma cabeça,False,
412,atraso menstruação,False,
413,quero encaminhamento para penumologista,False,
414,adoecimento de familiares,False,
415,irradiação de dor,False,
416,ab,False,
417,lesão articular,False,
418,confusao,False,
419,cronhn,False,
420,Doença Celíaca ,False,
421,dor na garganta,False,
422,medicamento,False,
423,deficiencia vitamina,False,
424,tontura,False,
425,CID F900 Distúrbios da atividade e da atenção,False,
426,fluxo menstrual,False,
427,muscular,False,
428,sintomas relacionados ao consumod e alimetnos,False,
429,Aumento glicemia,False,
430,DOENÇA CRONICA,False,
431,dificuldade de aprendizado,False,
432,exame hemograma,False,
433,história pessoal de aborto de primeiro trimester,False,
434,plaqueta,False,
435,"dor importante do lado esquerdo, em um lugar bem específico no abdome, sempre no período da ovulação",False,
436,palpebra,False,
437,supra espinhal ,False,
438,conflitos sobre guarda de criança,False,
439,paralisia facial recorrente,False,
440,Calculose renal,False,
441,emese,False,
442,parotida,False,
443,hérnia umbilical,False,
444,H932,False,
445,relatório ,False,
446,doença ocular família,False,
447,sentir se doente,False,
448,edema nasal,False,
449,dispneia paroxistica noturna,False,
450,conflito familiar,False,
451,Excisão de verrugas,False,
452,tromboflebite,False,
453,mater,False,
454,chron,False,
455,tossssee,False,
456,edema,False,
457,atividade física,False,
458,hemorróida,False,
459,vagina fétida,False,
460,Sífilis,False,
461,polifarmacia,False,
462,CID M620 Diástase de músculo,False,
463,pele no pé,False,
464,alteração citologia,False,
465,TAPADO,False,
466,Roncar quando está dormindo,False,
467,Gastrurs,False,
468,nevo,False,
469,dor pernas,False,
470,melanoma,False,
471,sorologias,False,
472,vertigem,False,
473,Exercício físico,False,
474,TRIGLICERIDES,False,
475,vaso vagal,False,
476,liquen plano,False,
477,bilirrubina,False,
478,dor no corpo todo,False,
479,dor no cotovelo,False,
480,desconforto torácico,False,
481,hipotireodismo,False,
482,perda de libido,False,
483,ansia,False,
484,Ereção,False,
485,efeito,False,
486,dor após cirurgia no fêmur,False,
487,joelho dor,False,
488,comportamento de busca de saúde,False,
489,bocio coloide,False,
490,Familiar,False,
491,renovar encaminhamento,False,
492,tosseaafebre,False,
493,pólipo vesícula biliar,False,
494,artrose quadril,False,
495,Etilismo,False,
496,exames,False,
497,BIPOLAR,False,
498,sono aumentado,False,
499,K03,False,
500,roncos,False,
501,sinais e sintomas dos ol,False,
502,Edema pálpebras,False,
503,HIPERTRIGLICERIDEMIA,False,
504,nevo melanocitico,False,
505,Diarreia,False,
506,dor cardiaca,False,
507,lingua ,False,
508,a23 infecção,False,
509,Psicologicos,False,
510,obstrucao nasal,False,
511,dor nos oio,False,
512,inflamação ,False,
513,kawasakis\,False,
514,xerostomia,False,
515,candidíase vaginal,False,
516,sequela erro medico,False,
517,H29,False,
518,dor joeho,False,
519,ulcera maleolar,False,
520,glicose alterada,False,
521,Problema com marido,False,
522,não estar gravida,False,
523,icc,False,
524,recorrente,False,
525,d09,False,
526,falta de olfato,False,
527,remoção de lesão de pele,False,
528,dor lombar com irradiação para membro inferior,False,
529,w77,False,
530,gastrite,False,
531,barriga ,False,
532,candidiase vaginal,False,
533,ouvido dor,False,
534,Bartholin,False,
535,lavagem ouvido cerume remoção retirada,False,
536,HERNIA TORACICA,False,
537,distorcao visao,False,
538,urgencia urinaria,False,
539,ultrassonografia de abdome total,False,
540,obesa,False,
541,investigação,False,
542,Líquen planopilar,False,
543,hérnia incisional,False,
544,tenossinovite infecciosa,False,
545,onicomicose,False,
546,efeito colateral,False,
547,hipertiroidismo,False,
548,Bulimia,False,
549,palpita,False,
550,alteração exame,False,
551,dificuldade de urinar,False,
552,Hipertensão,False,
553,otites repetição,False,
554,DESEJO DE MATERNIDADE,False,
555,fratura fibula,False,
556,iam,False,
557,Parotitide,False,
558,renovação ,False,
559,encoprese,False,
560,osteonecrose,False,
561,polifagia,False,
562,Mão,False,
563,Ist,False,
564,dentária,False,
565,investiga,False,
566,Priapismo,False,
567,musculo ,False,
568,risco aumentado para câncer,False,
569,Pressão alterada,False,
570,lesoes do ombro,False,
571,fontanela pequena,False,
572,líquido aminiótico,False,
573,"1- Refere que há 6 meses iniciou com quadro de dor lombar, nega trauma, refere que a dor vem piorando desde então e na ultima segunda feira não conseguiu levantar da cama. Refere que se fica muito tempo em pé ou muito tempo sentada tem muita dor, essa dor está limitante pois não consegue realizar todas as suas atividades de vida diaria devido a dor 2- Tem antecedente de litiase renal  3- AF : PAI : litiase renal e lombalgia frequente Pensar se não há algo relacionado ao pai que possa estar somatizando os seus problemas de saúde",False,
574,nausea na gestante,False,
575,Asma,False,
576,negligenci,False,
577,frenulo labial anterior,False,
578,problema na rótula,False,
579,prolactinoma,False,
580,materno,False,
581,cisto ovario,False,
582,complicação procedimento,False,
583,PRESSAO ARTERIAL,False,
584,sinusite,False,
585,laringomalacia,False,
586,polipo estomagoprofilaxia,False,
587,consulta de nutrição,False,
588, lábios,False,
589,colesterol alterado,False,
590,contusão,False,
591,anedonia,False,
592,Congestão nasal ,False,
593,lombociatalgia,False,
594,fragilidade,False,
595,DORSALGIA,False,
596,canela,False,
597,BASOCELULAR,False,
598,mioma,False,
599,dor ombro,False,
600,w29,False,
601,disfunção de temporo mandibular,False,
602,laring,False,
603,enzimas hepati,False,
604,busca de saúde,False,
605,QUADRIL,False,
606,dor em ombro ,False,
607,insuficiência renal,False,
608,perfuração da bexiga,False,
609,psicose,False,
610,DOR EM MÃO,False,
611,estrias,False,
612,multinodular,False,
613,deficit de atenção,False,
614,verruga plantar,False,
615,espuma urina,False,
616,Estilista,False,
617,Desejo de prep ,False,
618,lábios,False,
619,estenose aorta,False,
620,implante subdermico,False,
621,Tenossinovite estilóide radial [de Quervain],False,
622,infecção viral,False,
623,MAMAS DENSAS,False,
624,apneia do,False,
625,fratura pé talux,False,
626,assimetria membros inferiores,False,
627,clamidea,False,
628,rastreamento alterado,False,
629,abdominoplastia,False,
630,IDEAÇÃO SUICIDA,False,
631,trauma extremidade,False,
632,ESTRESSE,False,
633,L01,False,
634,avaliação cardiologica,False,
635,tumor ovário,False,
636,cefaleia secundária,False,
637,pre concepcao,False,
638,clamidia,False,
639,k07,False,
640,nódulo tireoide,False,
641,mãos,False,
642,empachamento ,False,
643,L04,False,
644,otohematoma,False,
645,otite de repetição\,False,
646,feedback exame,False,
647,tala,False,
648,Transtorno Alimentar na Infância,False,
649,idoso,False,
650,Risco aumentado de diabetes,False,
651,CID N433 Hidrocele não especificada,False,
652,cãibras,False,
653,d20,False,
654,Acrocordon,False,
655,MARCHA,False,
656,oper,False,
657,hernia hiatal,False,
658,ccefaleia,False,
659,alteração de pressão,False,
660,DOR NAS COSTAS,False,
661,Deficiência de ferro,False,
662,trauma,False,
663,dor em panturriilha,False,
664,sintomas e sintomas psicológicos,False,
665,MAMA,False,
666,Medo de câncer,False,
667,alucinação,False,
668,higiene do penis,False,
669,mandíbula,False,
670,corrimento penis,False,
671,Tdah,False,
672,oftalmologista,False,
673,exame rastrio,False,
674,gastrenterite,False,
675,mamas,False,
676,lupus,False,
677,ortope,False,
678,azia gravidez,False,
679,ABDOME,False,
680,parcial,False,
681,choque elétrico,False,
682,transtorno misto ansioso,False,
683,suspeita de avc,False,
684,criança,False,
685,risco de fratura na costela,False,
686,doença,False,
687,violencia na família,False,
688,dor de barriga],False,
689,hpv anal,False,
690,fratura exposta,False,
691,y1,False,
692,rachadura pé,False,
693,dorepgigastrica,False,
694,faringe,False,
695,CID M242 Transtornos de ligamentos,False,
696,r83,False,
697,l20,False,
698,perna,False,
699,rotura ligamento cruzado joelho,False,
700,jogos,False,
701,olho vermelho,False,
702,peyronie,False,
703,alergia pele,False,
704,alteração no papanicolau,False,
705,reação alergica,False,
706,problemas com o companheiro,False,
707,Pediculose da cabeça,False,
708,dor em região cervical,False,
709,Ouvir Zumbidos,False,
710,impulsos sexuais ,False,
711,CID R10.,False,
712,Hematoma,False,
713,dedo,False,
714,medo de ter verme,False,
715,dislipid,False,
716,comportamento ,False,
717,fibroma moe,False,
718,dpoc,False,
719,GRAVIDEZ,False,
720,d25,False,
721,dor abdome superior,False,
722,formigamentos,False,
723,Cirurgia bariátrica ,False,
724,alteraçao exame,False,
725,as,False,
726,hiperplasia prostata,False,
727,Membros inferiores ,False,
728,diastase muscular abdominal,False,
729,47,False,
730,Sintomas urinarios,False,
731,COMPORTAMENTO SEXUAL DE RISCO,False,
732,Pelvica,False,
733,fratura,False,
734,pé plano,False,
735,Carne esponjosa,False,
736,dor após trauma,False,
737,Bartolinite,False,
738,problema com  marido,False,
739,DERMATITE ATOPICA,False,
740,iatrogen,False,
741,Medo de cancer,False,
742,AVALIAÇÃO DE RESULTADO DE EXAME,False,
743,linofnodo,False,
744,trombose venosa sistema nervoso central,False,
745,a97,False,
746,menstruação excessiva,False,
747,CONTRACEPÇÃO,False,
748,esteatose figado,False,
749,Luxacao patela,False,
750,disuria ,False,
751,dor em cicatriz cirurgica,False,
752,cisto aracnoideo,False,
753,olho corpo estranho,False,
754,Retal,False,
755,visão,False,
756,x30,False,
757,abscesso submentoneano,False,
758,tumor benigno orelha,False,
759,consulta acompanhamento de saude,False,
760,surto,False,
761,falta vitamina,False,
762,depressao,False,
763,atraso desenvolvimento,False,
764,Eletrocardiograma,False,
765,DOR ANAL,False,
766,doenças de pele,False,
767,odinofagia,False,
768,geno valgo,False,
769,EXAME DE SANGUE ALTRADO,False,
770,habito sexual,False,
771,forame oval patente,False,
772,humor,False,
773,iatrogenia,False,
774,hipotiroidismo cid,False,
775,alergia ,False,
776,sonolência,False,
777,PULMÃO,False,
778,artrose mão,False,
779,notalgia,False,
780,miopatia não especificada,False,
781,dificuldade em ganhar peso,False,
782,lombalgia ,False,
783,infeccção trato urinario,False,
784,mancha na pele,False,
785,DUVIDAS DE SAÚDE,False,
786,PUERICULTURA,False,
787,conflitos relação,False,
788,consulta em saude mental,False,
789,atraso de crescimento,False,
790,Fever,False,
791,contracep,False,
792,HERNIA DE DISCO,False,
793,Busca a Saúde,False,
794,has,False,
795,u26,False,
796,SINTO9MAS URINÁRIOS,False,
797,colocação de diu,False,
798,Sintomas e sinais relativos ao estado emocional,False,
799,Tontura,False,
800,medo de doença mental,False,
801,fratura no tornozelo,False,
802,Sarcoidose,False,
803,angústia,False,
804,queratose actinica,False,
805,DOR DEDO DO PÉ,False,
806,graves,False,
807,dificuldade de ingerir líquidos,False,
808,questão relacionada ao trabalho,False,
809,transtornos da alimentação,False,
810,sintomas ouvido,False,
811,F56,False,
812,fratura costela,False,
813,pinta,False,
814,hiporexia,False,
815,rotura tendão ombro,False,
816,Dor miofascial,False,
817,luxação,False,
818,infecçao de via area,False,
819,b02,False,
820,-48,False,
821,risco de intoxicação vitamina,False,
822,Implante,False,
823,ginecologista,False,
824,exame rotina,False,
825,Coriza,False,
826,oftalmo,False,
827,cicatriz hipertrofica,False,
828,nefrolitíase,False,
829,infecção pele,False,
830,sangramento ano-retal,False,
831,avc,False,
832,Neurótica,False,
833,micose,False,
834,dificuldade de atenção,False,
835,sarna humana,False,
836,caimbras,False,
837,reação adversa a medicamento,False,
838,capsulite adesiva do ombro,False,
839,perda urinaria,False,
840,cair,False,
841,tosse,False,
842,fezes claras,False,
843,reação a medicação,False,
844,Pontada anus,False,
845,deficit d eatenção,False,
846,pre-eclampsia,False,
847,entupido,False,
848,caroço ,False,
849,vegetarianismo,False,
850,s88,False,
851,Neoplasia maligna laringe,False,
852,escola,False,
853,- Quadro gripal sem sinal de alarme,False,
854,Nunca fumou,False,
855,história familiar,False,
856,Dst,False,
857,risco de fratura,False,
858,CASEUM,False,
859,ganhou peso,False,
860,gengiva,False,
861,terçol no olho,False,
862,ESCABIOSE,False,
863,compressão venosa,False,
864,pólipo colon,False,
865,Risco cardiovascular ,False,
866,f100,False,
867,pré-operatório,False,
868,coleta papanicolau,False,
869,BOCA,False,
870,hemorragia conjuntiva,False,
871,alteração exames hepáticos,False,
872,aleitamento materno],False,
873,Tem dislipidemia e hipertrigliceridemia,False,
874,Dequervain,False,
875,SENISIBILIDADE AUDITIVA,False,
876,fratura do pé,False,
877,URINA,False,
878,PROCEDIMENTO,False,
879,SINUSITE,False,
880,calvice,False,
881,Vitamina,False,
882,infecção na pele,False,
883,medo de fatura de cartão de crédito,False,
884,w89,False,
885,costas,False,
886,queixa abdominal,False,
887,engravidar,False,
888,Tea,False,
889,anemia falciforme,False,
890,dor boca do estômago,False,
891,ejaculação precoce,False,
892,medicaçao,False,
893,Boca amarga,False,
894,dor panturilha,False,
895,f13,False,
896,PÓLIPO,False,
897,Demanda Administrativa,False,
898,antebraço,False,
899,dor no braço,False,
900,Fasceite plantar,False,
901,cervicalgia,False,
902,Dor muscular,False,
903,Doença de Peyronie,False,
904,IRREGULARIDADE MENSTRUAL,False,
905,Magenschmerzen,False,
906,Medo de doença grave,False,
907,Acidente de moto,False,
908,a82,False,
909,trouxe resultados de exames de rotina,False,
910,tireoid,False,
911,nódulo no pé,False,
912,-36,False,
913,medo de doença,False,
914,PUERPERIO,False,
915,dor nariz,False,
916,S08,False,
917,sintoma relacionado a alimentação,False,
918,colonosocpia,False,
919,pedido,False,
920,mordida na língua,False,
921,atraso escolar,False,
922,infecção de ouvido,False,
923,ALIMENTA,False,
924,Gordura no fígado ,False,
925,CHECK UP,False,
926,Equilíbrio,False,
927,melanocitica,False,
928,dedo em gatilho,False,
929,MEDO DE ADOECER,False,
930,punhos,False,
931,k22,False,
932,dermatite em pe,False,
933,pressao alta,False,
934,PÉS,False,
935,neuralgia pós-herpética,False,
936,evasao,False,
937,doença de P/eyronie,False,
938,MIALGIA,False,
939,comportamento agitado,False,
940,Tristeza,False,
941,Espirro,False,
942,infecção sexual,False,
943,exercicio,False,
944,indicado por outro prestador,False,
945,L11,False,
946,nódulo em punho,False,
947,humor misto,False,
948,congnição,False,
949,exame anormal,False,
950,Nefropatia,False,
951,telangiectasias,False,
952,lentidão,False,
953,lipotimia,False,
954,fúngica,False,
955,dor de estômago,False,
956,Nocturia,False,
957,ovario policistic,False,
958,Condromalacia patelar,False,
959,DÚVIDA DE SAÚDE,False,
960,queixa dermatologica,False,
961,mancha na pe5na,False,
962,dor coccix,False,
963,faringite recorrente,False,
964,afasia,False,
965,tendinopatia ombro,False,
966,EFEITO DA PRÓTESE,False,
967,hipofise,False,
968,tendinite mão,False,
969,dor renal,False,
970,dor de garganta,False,
971,Mioma,False,
972,constipacao,False,
973,tdha,False,
974,CID R102 Dor pélvica e perineal,False,
975,transtorno global do desenvolvimento,False,
976,hálito,False,
977,Faringoamigdalite,False,
978,refluxo,False,
979,H13,False,
980,sangramento menstrual escessivo,False,
981,dor de baarriga,False,
982,bartholin,False,
983,criança inapetente,False,
984,dor ao encostar,False,
985,dislexia e alexi,False,
986,X49,False,
987,cirurgia nasal,False,
988,morte,False,
989,DOR ARTICULAR,False,
990,distensão abdominal,False,
991,dor na face,False,
992,otalgia,False,
993,puberdade,False,
994,dor retroorbitária,False,
995,nódulos tireoide,False,
996,ictericia neonatal,False,
997,trauma cotovelo,False,
998,pele ressecada,False,
999,Escabiose,False,
1000,teste,False,
1001,cancer de mama,False,
1002,planejamento reprodutivo,False,
1003,diminuição do olfato,False,
1004,alteração concentração,False,
1005,litíase,False,
1006,hérnia epigastrica,False,
1007,cons,False,
1008,menopausa,False,
1009,penis,False,
1010,"tosse, febre",False,
1011,Faringite alergica,False,
1012,sinais e sintomas da mão,False,
1013,Depressão,False,
1014,r96,False,
1015,l12,False,
1016,problema de autoestim,False,
1017,cistite recorrent,False,
1018,polifarmácia,False,
1019,dor crescime,False,
1020,dor  lombar,False,
1021,amamentação alergia,False,
1022,preferência sexuak,False,
1023,contipaçãp,False,
1024,D23 - Outras Neoplasias Benignas da Pele,False,
1025,precisa de pedido de exame,False,
1026,dor torácica ,False,
1027,P09,False,
1028,X19,False,
1029,alteração na axila,False,
1030,Anticoncepcional ,False,
1031,mioma uterino,False,
1032,histórico de trombose,False,
1033,tsh alterado,False,
1034,A11,False,
1035,Informação,False,
1036,xantasma,False,
1037,metaplasia gástrica,False,
1038,TDAH,False,
1039,Gastrite,False,
1040,Dor em Perna Esquerda,False,
1041,NAUSEA,False,
1042,tosseaaafebre,False,
1043,disco inter,False,
1044,EFEITO ADVERSO,False,
1045,protese quadril,False,
1046,melanose solar,False,
1047,Amig,False,
1048,prestador,False,
1049,z12.4,False,
1050,trauma na cabeça,False,
1051,A29,False,
1052,arroto,False,
1053,"p15, p17, p19",False,
1054,donte,False,
1055,hipertrofia mamária,False,
1056,agressão,False,
1057,diastase de reto abdominal,False,
1058,cid dor testicular,False,
1059,xantelasma,False,
1060,coceira na vagina,False,
1061,emocional cid,False,
1062,lesão de pele,False,
1063,luto complicado,False,
1064,alteração de concentraçao,False,
1065,j069,False,
1066,Hordeolo,False,
1067,exame de rastreio,False,
1068,paralisia cerebral,False,
1069,dor na nádega,False,
1070,fobia,False,
1071,Lesão menisco ,False,
1072,uso abusivo de esteróides,False,
1073,violencia no trabalho,False,
1074,alteração na Pressao arterial,False,
1075,y34,False,
1076,vacina,False,
1077,plicoma anal,False,
1078,sangramento umbilical,False,
1079,s12,False,
1080,gotejamento pos nasal,False,
1081,esclarecimento,False,
1082,trouxe os resultados de exame de rotina,False,
1083,Busca,False,
1084,Stevens,False,
1085,desejo de passar no cardiologista,False,
